league_url,league_country,league_level,league_name_tm
https://www.transfermarkt.com/serie-c-girone-a/startseite/wettbewerb/IT3A,Italy,Third Tier,Serie C
https://www.transfermarkt.com/serie-d-girone-e/startseite/wettbewerb/IT4E,Italy,Fourth Tier,Serie D
https://www.transfermarkt.com/championnat-national-2-groupe-c/startseite/wettbewerb/CN2C,France,Fourth Tier,Championnat National 2
https://www.transfermarkt.com/2-hnl/startseite/wettbewerb/KR2,Croatia,Second Tier,Prva Nogometna Liga 25/26
https://www.transfermarkt.com/3rd-division-league/startseite/wettbewerb/IN4L,India,Fourth Tier,I
https://www.transfermarkt.com/chinese-super-league-championship-stage/startseite/wettbewerb/CSLC,China,,Chinese Super League Championship Play
https://www.transfermarkt.com/fortuna-1-liga/startseite/wettbewerb/PL2,Poland,Second Tier,Betclic 1 Liga 25/26
https://www.transfermarkt.com/1ste-nationale-acff/startseite/wettbewerb/BE3A,Belgium,Third Tier,1ste Nationale ACFF 25/26
https://www.transfermarkt.com/k-league-2/startseite/wettbewerb/RSK2,"Korea, South",Second Tier,K League 2 2026
https://www.transfermarkt.com/premyer-liqasi/startseite/wettbewerb/AZ1,Azerbaijan,First Tier,Premyer Liqa 25/26
https://www.transfermarkt.com/kakkonen-gruppe-b/startseite/wettbewerb/FI3B,Finland,Fourth Tier,Kakkonen
https://www.transfermarkt.com/i-league-2nd-division/startseite/wettbewerb/IND2,India,Third Tier,I
https://www.transfermarkt.com/campeonato-de-portugal-serie-b/startseite/wettbewerb/CPSB,Portugal,Fourth Tier,Campeonato de Portugal
https://www.transfermarkt.com/segunda-division-profesional/startseite/wettbewerb/URU2,Uruguay,Second Tier,Segunda División
https://www.transfermarkt.com/nemzeti-bajnoksag-ii-/startseite/wettbewerb/UN2,Hungary,Second Tier,Nemzeti Bajnokság II. 25/26
https://www.transfermarkt.com/obos-ligaen/startseite/wettbewerb/NO2,Norway,Second Tier,OBOS
https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1,Denmark,First Tier,Superliga 25/26
https://www.transfermarkt.com/football-league-sud/startseite/wettbewerb/GR2S,Greece,Second Tier,Football League South 14/15
https://www.transfermarkt.com/mls-next-pro/startseite/wettbewerb/MNP3,United States,Third Tier,MLS Next Pro 2026
https://www.transfermarkt.com/segunda-division-b-grupo-v-bis-20-21-/startseite/wettbewerb/ES3E,Spain,Third Tier,Segunda División B
https://www.transfermarkt.com/bangladesh-premier-league/startseite/wettbewerb/BGD1,Bangladesh,First Tier,Bangladesh Football League 25/26
https://www.transfermarkt.com/promotion-league/startseite/wettbewerb/CHPR,Switzerland,Third Tier,Promotion League 25/26
https://www.transfermarkt.com/national-league/startseite/wettbewerb/CNAT,England,Fifth Tier,National League 25/26
https://www.transfermarkt.com/regionalliga-sudwest/startseite/wettbewerb/RLSW,Germany,Fourth Tier,Regionalliga Südwest 25/26
https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/SLO1,Slovakia,First Tier,Niké Liga 25/26
https://www.transfermarkt.com/2-division-a-phase-2-/startseite/wettbewerb/R3D2,Russia,Third Tier,2. Division A (Phase 2) 25/26
https://www.transfermarkt.com/dstv-premiership/startseite/wettbewerb/SFA1,South Africa,First Tier,Betway Premiership 25/26
https://www.transfermarkt.com/regionalliga-nord/startseite/wettbewerb/RLN3,Germany,Fourth Tier,Regionalliga Nord 25/26
https://www.transfermarkt.com/scottish-championship/startseite/wettbewerb/SC2,Scotland,Second Tier,Scottish Championship 25/26
https://www.transfermarkt.com/ettan-norra/startseite/wettbewerb/SE3N,Sweden,Third Tier,Ettan Norra 2026
https://www.transfermarkt.com/premier-league/startseite/wettbewerb/IR1,Ireland,First Tier,League of Ireland Premier Division 2026
https://www.transfermarkt.com/national-league-north/startseite/wettbewerb/NLN6,England,Sixth Tier,National League North 25/26
https://www.transfermarkt.com/national-league-south/startseite/wettbewerb/NLS6,England,Sixth Tier,National League South 25/26
https://www.transfermarkt.com/vysheyshaya-liga/startseite/wettbewerb/WER1,Belarus,First Tier,Vysheyshaya Liga 2026
https://www.transfermarkt.com/egyptian-premier-league/startseite/wettbewerb/EGY1,Egypt,First Tier,Egyptian Premier League 25/26
https://www.transfermarkt.com/hessenliga/startseite/wettbewerb/OBLC,Germany,Fifth Tier,Hessenliga 25/26
https://www.transfermarkt.com/burgenlandliga/startseite/wettbewerb/A4B,Austria,Fourth Tier,Burgenlandliga 25/26
https://www.transfermarkt.com/derde-divisie-sonntag/startseite/wettbewerb/511,Netherlands,Fourth Tier,Derde Divisie B 25/26
https://www.transfermarkt.com/first-division/startseite/wettbewerb/IR2,Ireland,Second Tier,League of Ireland First Division 2026
https://www.transfermarkt.com/nisa/startseite/wettbewerb/NIS3,United States,Third Tier,NISA 2024
https://www.transfermarkt.com/quadrangular-do-rebaixamento/startseite/wettbewerb/BRQR,Brazil,,Campeonato Gaúcho
https://www.transfermarkt.com/oberliga-niederrhein/startseite/wettbewerb/OLNI,Germany,Fifth Tier,Oberliga Niederrhein 25/26
https://www.transfermarkt.com/scottish-league-two/startseite/wettbewerb/SC4,Scotland,Fourth Tier,Scottish League Two 25/26
https://www.transfermarkt.com/regionalliga-west/startseite/wettbewerb/RLW3,Germany,Fourth Tier,Regionalliga West 25/26
https://www.transfermarkt.com/scottish-lowland-football-league/startseite/wettbewerb/SC5L,Scotland,Fifth Tier,Scottish Lowland Football League 25/26
https://www.transfermarkt.com/2-liga/startseite/wettbewerb/A2,Austria,Second Tier,2. Liga 25/26
https://www.transfermarkt.com/prva-liga/startseite/wettbewerb/SL1,Slovenia,First Tier,Prva Liga 25/26
https://www.transfermarkt.com/championnat-national-u19-groupe-d/startseite/wettbewerb/F19D,France,,Championnat National U19
https://www.transfermarkt.com/oberliga-rheinland-pfalz-saar/startseite/wettbewerb/OLRP,Germany,Fifth Tier,Oberliga Rheinland
https://www.transfermarkt.com/vtora-liga/startseite/wettbewerb/BU2,Bulgaria,Second Tier,Vtora Liga 25/26
https://www.transfermarkt.com/1-landesliga-niederosterreich/startseite/wettbewerb/A4N,Austria,Fourth Tier,1. Landesliga Niederösterreich 25/26
https://www.transfermarkt.com/nigeria-professional-football-league/startseite/wettbewerb/NPFL,Nigeria,First Tier,Nigeria Professional Football League 25/26
https://www.transfermarkt.com/mls-reserve-league/startseite/wettbewerb/MLSR,United States,,MLS Reserve League 2012
