player_name,transfermarkt_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons,explanation
Cauley Woodrow,https://www.transfermarkt.com/cauley-woodrow/profil/spieler/169801,Success,169801,spieler,Cauley Woodrow,02/12/1994 (30),Hemel Hempstead,"1,84 m",England,Attack - Centre-Forward,right,Not found,Wycombe,1/9/2025,30/06/2026,Nike,2,87,19,No,Not found,12,2,first scrap players transfer
Joseph Yobo,https://www.transfermarkt.com/joseph-yobo/profil/spieler/3270,Success,3270,spieler,Joseph Yobo,06/09/1980 (45),Kono,"1,88 m",Nigeria  England,Defender - Centre-Back,right,Not found,Fenerbahçe,26/11/2015,-,Not found,7,138,28,Yes,26/11/2015,Not found,4,first scrap players transfer
Wilfried Zaha,https://www.transfermarkt.com/wilfried-zaha/profil/spieler/145988,Success,145988,spieler,Wilfried Zaha,10/11/1992 (33),Abidjan,"1,80 m",Cote d'Ivoire  England,Attack - Left Winger,right,Not found,Charlotte,31/01/2025,30/06/2026,Not found,24,478,73,No,Not found,10,8,first scrap players transfer
Elsad Zverotić,https://www.transfermarkt.com/elsad-zveroti/profil/spieler/25542,Success,25542,spieler,Elsad Zverotic,31/10/1986 (39),Petnjica,"1,79 m",Montenegro  Switzerland,Defender - Right-Back,right,Not found,FC Aarau,1/7/2021,-,Not found,5,163,24,Yes,1/7/2021,Not found,4,first scrap players transfer
Rolando Aarons,https://www.transfermarkt.com/rolando-aarons/profil/spieler/258188,Success,258188,spieler,Rolando Aarons,16/11/1995 (30),Kingston,"1,78 m",Jamaica  England,Attack - Left Winger,left,Not found,Morecambe FC,22/09/2025,-,Not found,7,678,130,No,Not found,12,4,first scrap players transfer
Mehdi Abeid,https://www.transfermarkt.com/mehdi-abeid/profil/spieler/111036,Success,111036,spieler,Mehdi Abeid,06/08/1992 (33),Montreuil,"1,78 m",Algeria  France,Midfield - Central Midfield,right,Not found,Without Club,1/7/2025,-,Not found,11,373,61,No,Not found,Not found,4,first scrap players transfer
Toby Alderweireld,https://www.transfermarkt.com/toby-alderweireld/profil/spieler/42710,Success,42710,spieler,Toby Alderweireld,02/03/1989 (36),Wilrijk,"1,87 m",Belgium,Defender - Centre-Back,right,Not found,Royal Antwerp,1/7/2025,-,Nike,15,446,84,Yes,1/7/2025,Not found,9,first scrap players transfer
Jak Alnwick,https://www.transfermarkt.com/jak-alnwick/profil/spieler/128895,Success,128895,spieler,Jak Alnwick,17/06/1993 (32),Prudhoe,"1,87 m",England,Goalkeeper,left,Not found,Cardiff,1/7/2022,30/06/2026,Not found,4,117,15,No,Not found,21,3,first scrap players transfer
Ricky Álvarez,https://www.transfermarkt.com/ricky-lvarez/profil/spieler/76077,Success,76077,spieler,Ricardo Álvarez,12/04/1988 (37),Buenos Aires,"1,88 m",Argentina  Italy,Midfield - Central Midfield,left,Not found,Vélez Sarsfield,1/1/2022,-,Not found,14,758,107,Yes,1/1/2022,Not found,8,first scrap players transfer
Scott Arfield,https://www.transfermarkt.com/scott-arfield/profil/spieler/55291,Success,55291,spieler,Scott Arfield,01/11/1988 (37),Livingston,"1,78 m",Canada  Scotland,Midfield - Central Midfield,right,Not found,Falkirk,3/2/2025,31/05/2026,Not found,8,214,34,No,Not found,37,4,first scrap players transfer
Christian Atsu,https://www.transfermarkt.com/christian-atsu/profil/spieler/186997,Success,186997,spieler,Christian Atsu,10/1/1992,Ada Foah,"1,65 m",Ghana,Attack - Left Winger,left,Not found,Not found,Not found,Not found,Nike,7,237,36,No,Not found,Not found,4,first scrap players transfer
Charlie Austin,https://www.transfermarkt.com/charlie-austin/profil/spieler/129627,Success,129627,spieler,Charlie Austin,05/07/1989 (36),Hungerford,"1,88 m",England,Attack - Centre-Forward,right,Not found,Hungerford,5/11/2025,-,Nike,7,443,71,No,Not found,Not found,5,first scrap players transfer
Ashley Barnes,https://www.transfermarkt.com/ashley-barnes/profil/spieler/63200,Success,63200,spieler,Ashley Barnes,30/10/1989 (36),Dunkerton,"1,85 m",England,Attack - Centre-Forward,right,Not found,Burnley,2/1/2025,30/06/2026,Not found,10,816,80,No,Not found,35,6,first scrap players transfer
Modou Barrow,https://www.transfermarkt.com/modou-barrow/profil/spieler/189070,Success,189070,spieler,Modou Barrow,13/10/1992 (33),Banjul,"1,76 m",The Gambia  Sweden,Attack - Left Winger,left,Not found,Incheon Utd.,3/2/2025,-,Not found,8,193,34,No,Not found,14,4,first scrap players transfer
Héctor Bellerín,https://www.transfermarkt.com/hctor-bellern/profil/spieler/191217,Success,191217,spieler,Héctor Bellerín,19/03/1995 (30),Badalona,"1,78 m",Spain,Defender - Right-Back,right,Not found,Real Betis,18/07/2023,30/06/2028,Mizuno,11,558,107,No,Not found,2,6,first scrap players transfer
Muhamed Bešić,https://www.transfermarkt.com/muhamed-bei/profil/spieler/93905,Success,93905,spieler,Muhamed Besic,10/09/1992 (33),Berlin,"1,80 m",Bosnia-Herzegovina  Germany,Midfield - Defensive Midfield,right,Not found,Spartak,18/01/2025,30/06/2026,Not found,6,557,85,No,Not found,5,5,first scrap players transfer
Tyler Blackett,https://www.transfermarkt.com/tyler-blackett/profil/spieler/134414,Success,134414,spieler,Tyler Blackett,02/04/1994 (31),Manchester,"1,83 m",England  Barbados,Defender - Centre-Back,left,Not found,Without Club,1/7/2024,-,Not found,3,87,11,No,Not found,Not found,2,first scrap players transfer
Sebastián Blanco,https://www.transfermarkt.com/sebastin-blanco/profil/spieler/54576,Success,54576,spieler,Sebastián Blanco,15/03/1988 (37),Buenos Aires,"1,68 m",Argentina  Spain,Midfield - Attacking Midfield,both,Not found,Miami FC,31/01/2025,30/11/2025,Not found,6,575,65,No,Not found,10,3,first scrap players transfer
Daley Blind,https://www.transfermarkt.com/daley-blind/profil/spieler/12282,Success,12282,spieler,Daley Blind,09/03/1990 (35),Amsterdam,"1,80 m",Netherlands,Defender - Centre-Back,left,Not found,Girona,7/7/2023,30/06/2026,adidas,10,351,62,No,Not found,17,6,first scrap players transfer
Tyias Browning,https://www.transfermarkt.com/tyias-browning/profil/spieler/156934,Success,156934,spieler,Tyias Browning,27/05/1994 (31),Liverpool,"1,88 m",China  England,Defender - Centre-Back,right,Not found,SH Port,22/08/2022,31/12/2026,Nike,3,492,69,No,Not found,3,2,first scrap players transfer
Will Buckley,https://www.transfermarkt.com/will-buckley/profil/spieler/77329,Success,77329,spieler,Will Buckley,21/11/1989 (36),Oldham,"1,83 m",England  Ireland,Attack - Right Winger,Not found,Not found,Bolton,1/7/2020,-,Not found,1,85,12,Yes,1/7/2020,Not found,1,first scrap players transfer
Reece Burke,https://www.transfermarkt.com/reece-burke/profil/spieler/264220,Success,264220,spieler,Reece Burke,02/09/1996 (29),London,"1,89 m",England,Defender - Centre-Back,right,Not found,Charlton,9/7/2025,30/06/2027,Not found,20,712,119,No,Not found,32,9,first scrap players transfer
Willy Caballero,https://www.transfermarkt.com/willy-caballero/profil/spieler/19948,Success,19948,spieler,Willy Caballero,28/09/1981 (44),Santa Elena,"1,86 m",Argentina  Spain,Goalkeeper,right,Not found,Southampton,1/7/2023,-,Not found,3,299,44,Yes,1/7/2023,Not found,3,first scrap players transfer
Rémy Cabella,https://www.transfermarkt.com/rmy-cabella/profil/spieler/113707,Success,113707,spieler,Rémy Cabella,08/03/1990 (35),Ajaccio,"1,72 m",France  Italy,Midfield - Attacking Midfield,right,Not found,Olympiacos,1/7/2025,30/06/2027,Puma,10,654,96,No,Not found,90,9,first scrap players transfer
Esteban Cambiasso,https://www.transfermarkt.com/esteban-cambiasso/profil/spieler/7520,Success,7520,spieler,Esteban Cambiasso,18/08/1980 (45),San Fernando,"1,77 m",Argentina  Italy,Midfield - Defensive Midfield,left,Not found,Olympiacos,1/7/2017,-,Not found,12,176,33,Yes,1/7/2017,Not found,6,first scrap players transfer
Joel Campbell,https://www.transfermarkt.com/joel-campbell/profil/spieler/131248,Success,131248,spieler,Joel Campbell,26/06/1992 (33),San José,"1,78 m",Costa Rica,Attack - Right Winger,left,Not found,LD Alajuelense,1/7/2023,30/06/2026,Nike,12,367,67,No,Not found,12,7,first scrap players transfer
Emre Can,https://www.transfermarkt.com/emre-can/profil/spieler/119296,Success,119296,spieler,Emre Can,12/01/1994 (31),Frankfurt am Main,"1,86 m",Germany  Türkiye,Defender - Centre-Back,right,Not found,Dortmund,1/7/2020,30/06/2026,Not found,26,653,139,No,Not found,23,13,first scrap players transfer
Nathaniel Chalobah,https://www.transfermarkt.com/nathaniel-chalobah/profil/spieler/128900,Success,128900,spieler,Nathaniel Chalobah,12/12/1994 (30),Freetown,"1,85 m",England  Sierra Leone,Midfield - Defensive Midfield,right,Not found,Sheff Wed,13/07/2024,-,Not found,14,560,91,No,Not found,14,8,first scrap players transfer
Andreas Christensen,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,Success,196948,spieler,Andreas Christensen,10/04/1996 (29),Lillerød,"1,87 m",Denmark,Defender - Centre-Back,right,Not found,Barcelona,4/7/2022,30/06/2026,adidas,29,537,120,No,Not found,15,11,first scrap players transfer
Brandon Comley,https://www.transfermarkt.com/brandon-comley/profil/spieler/362809,Success,362809,spieler,Brandon Comley,18/11/1995 (30),London,"1,80 m",Montserrat  England,Midfield - Defensive Midfield,right,Not found,Walsall,1/7/2022,30/06/2026,Not found,1,78,14,No,Not found,14,1,first scrap players transfer
Diego Costa,https://www.transfermarkt.com/diego-costa/profil/spieler/44779,Success,44779,spieler,Diego Costa,07/10/1988 (37),Lagarto,"1,86 m",Spain  Brazil,Attack - Centre-Forward,right,Not found,Without Club,1/1/2025,-,adidas,30,769,143,No,Not found,Not found,11,first scrap players transfer
Thibaut Courtois,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,Success,108390,spieler,Thibaut Courtois,11/05/1992 (33),Bree,"2,00 m",Belgium,Goalkeeper,left,Not found,Real Madrid,9/8/2018,30/06/2027,Nike,24,648,128,No,Not found,1,12,first scrap players transfer
Aaron Cresswell,https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,Success,92571,spieler,Aaron Cresswell,15/12/1989 (35),Liverpool,"1,70 m",England,Defender - Left-Back,left,Not found,Stoke City,10/7/2025,30/06/2026,adidas,16,252,36,No,Not found,3,5,first scrap players transfer
Juan Cuadrado,https://www.transfermarkt.com/juan-cuadrado/profil/spieler/91970,Success,91970,spieler,Juan Cuadrado,26/05/1988 (37),Necoclí,"1,76 m",Colombia  Italy,Midfield - Right Midfield,right,Not found,Pisa,6/8/2025,30/06/2026,adidas,23,631,115,No,Not found,11,10,first scrap players transfer
Jason Davidson,https://www.transfermarkt.com/jason-davidson/profil/spieler/137669,Success,137669,spieler,Jason Davidson,29/06/1991 (34),Melbourne,"1,82 m",Australia  Greece,Defender - Left-Back,left,Not found,Melb. Victory,13/08/2025,30/06/2027,Not found,6,219,26,No,Not found,2,5,first scrap players transfer
Ángel Di María,https://www.transfermarkt.com/ngel-di-mara/profil/spieler/45320,Success,45320,spieler,Ángel Di María,14/02/1988 (37),Rosario,"1,78 m",Argentina  Italy,Attack - Right Winger,left,Not found,Rosario Central,1/7/2025,30/06/2026,adidas,51,748,146,No,Not found,11,15,first scrap players transfer
Eric Dier,https://www.transfermarkt.com/eric-dier/profil/spieler/175722,Success,175722,spieler,Eric Dier,15/01/1994 (31),Cheltenham,"1,91 m",England  Portugal,Defender - Centre-Back,right,Not found,Monaco,1/7/2025,30/06/2028,Nike,28,444,79,No,Not found,3,14,first scrap players transfer
Michael Doughty,https://www.transfermarkt.com/michael-doughty/profil/spieler/173832,Success,173832,spieler,Michael Doughty,20/11/1992 (33),Westminster,"1,85 m",Wales  England,Midfield - Central Midfield,left,Not found,Swindon Town,12/9/2020,-,Not found,2,78,15,Yes,12/9/2020,Not found,2,first scrap players transfer
Danny Drinkwater,https://www.transfermarkt.com/danny-drinkwater/profil/spieler/73491,Success,73491,spieler,Danny Drinkwater,05/03/1990 (35),Manchester,"1,78 m",England,Midfield - Central Midfield,right,Not found,Wythenshawe,10/11/2025,-,Not found,12,465,80,No,Not found,Not found,6,first scrap players transfer
Michael Duff,https://www.transfermarkt.com/michael-duff/profil/spieler/119269,Success,119269,spieler,Shane Duffy,01/01/1992 (33),Derry,"1,93 m",Ireland  Northern Ireland,Defender - Centre-Back,right,Not found,Norwich,1/7/2023,30/06/2026,Not found,13,296,48,No,Not found,4,8,first scrap players transfer
Eljero Elia,https://www.transfermarkt.com/eljero-elia/profil/spieler/27805,Success,27805,spieler,Eljero Elia,13/02/1987 (38),Voorburg,"1,76 m",Netherlands  Suriname,Attack - Left Winger,right,Not found,Madestein,1/7/2025,-,Not found,22,627,108,No,Not found,Not found,11,first scrap players transfer
Radamel Falcao,https://www.transfermarkt.com/radamel-falcao/profil/spieler/39152,Success,39152,spieler,Radamel Falcao,10/02/1986 (39),Santa Marta,"1,77 m",Colombia  Venezuela,Attack - Centre-Forward,right,Not found,Without Club,1/7/2025,-,Nike,35,1480,283,No,Not found,Not found,15,first scrap players transfer
Federico Fazio,https://www.transfermarkt.com/federico-fazio/profil/spieler/45314,Success,45314,spieler,Federico Fazio,17/03/1987 (38),Buenos Aires,"1,95 m",Argentina  Italy,Defender - Centre-Back,right,Not found,Salernitana,1/7/2024,-,adidas,22,463,82,Yes,1/7/2024,Not found,9,first scrap players transfer
Federico Fernández,https://www.transfermarkt.com/federico-fernndez/profil/spieler/85475,Success,85475,spieler,Federico Fernández,21/02/1989 (36),Tres Algarrobos,"1,89 m",Argentina  Italy,Defender - Centre-Back,right,Not found,Estudiantes LP,1/1/2025,-,adidas,12,288,41,Yes,1/1/2025,Not found,6,first scrap players transfer
Fernando,https://www.transfermarkt.com/fernando/profil/spieler/7767,Success,7767,spieler,Fernando Torres,20/03/1984 (41),Fuenlabrada (Madrid),"1,86 m",Spain,Attack - Centre-Forward,right,Not found,Sagan Tosu,26/08/2019,-,Mizuno,16,342,81,Yes,26/08/2019,Not found,8,first scrap players transfer
Fraser Forster,https://www.transfermarkt.com/fraser-forster/profil/spieler/52570,Success,52570,spieler,Fraser Forster,17/03/1988 (37),Hexham,"2,01 m",England,Goalkeeper,right,Not found,Without Club,1/7/2025,-,Under Armour,6,577,70,No,Not found,Not found,5,first scrap players transfer
Darnell Furlong,https://www.transfermarkt.com/darnell-furlong/profil/spieler/351755,Success,351755,spieler,Darnell Furlong,31/10/1995 (30),Luton,"1,83 m",England  Montserrat,Defender - Right-Back,right,Not found,Ipswich,28/08/2025,30/06/2028,Not found,1,43,6,No,Not found,19,1,first scrap players transfer
Brendan Galloway,https://www.transfermarkt.com/brendan-galloway/profil/spieler/208244,Success,208244,spieler,Brendan Galloway,17/03/1996 (29),Harare,"1,86 m",Zimbabwe  England,Defender - Centre-Back,left,Not found,Plymouth,21/07/2021,30/06/2026,adidas,13,1417,243,No,Not found,22,8,first scrap players transfer
Cristian Gamboa,https://www.transfermarkt.com/cristian-gamboa/profil/spieler/121686,Success,121686,spieler,Cristian Gamboa,24/10/1989 (36),Liberia,"1,75 m",Costa Rica,Defender - Right-Back,right,Not found,VfL Bochum,1/7/2025,-,Not found,10,281,38,Yes,1/7/2025,Not found,7,first scrap players transfer
Dominic Gape,https://www.transfermarkt.com/dominic-gape/profil/spieler/226964,Success,226964,spieler,Dominic Gape,09/09/1994 (31),Burton Bradstock,"1,80 m",England,Midfield - Defensive Midfield,right,Not found,Colchester Utd.,1/7/2025,30/06/2026,Not found,2,131,19,No,Not found,15,1,first scrap players transfer
Florin Gardoș,https://www.transfermarkt.com/florin-gardo/profil/spieler/57423,Success,57423,spieler,Florin Gardoș,29/10/1988 (37),Satu Mare,"1,93 m",Romania,Defender - Centre-Back,right,Not found,Academica Clince,30/06/2023,-,Nike,5,440,66,Yes,30/06/2023,Not found,4,first scrap players transfer
Carles Gil,https://www.transfermarkt.com/carles-gil/profil/spieler/127987,Success,127987,spieler,Carles Gil,22/11/1992 (33),Valencia,"1,71 m",Spain,Midfield - Attacking Midfield,left,Not found,New England,30/01/2019,31/12/2026,Not found,14,725,68,No,Not found,10,11,first scrap players transfer
Bafétimbi Gomis,https://www.transfermarkt.com/baftimbi-gomis/profil/spieler/22388,Success,22388,spieler,Bafétimbi Gomis,06/08/1985 (40),La Seyne-sur-Mer,"1,84 m",France  Senegal,Attack - Centre-Forward,right,Not found,Kawasaki Front.,10/11/2024,-,Not found,6,97,14,Yes,10/11/2024,Not found,6,first scrap players transfer
Kenji Gorré,https://www.transfermarkt.com/kenji-gorr/profil/spieler/374889,Success,374889,spieler,Kenji Gorré,29/09/1994 (31),Spijkenisse,"1,74 m",Curacao  Netherlands,Attack - Left Winger,right,Not found,Maccabi Haifa,17/07/2025,30/06/2027,Not found,2,50,8,No,Not found,11,2,first scrap players transfer
Reece Grego-Cox,https://www.transfermarkt.com/reece-grego-cox/profil/spieler/264199,Success,264199,spieler,Reece Grego-Cox,12/11/1996 (29),London,"1,78 m",Ireland  England,Midfield - Right Midfield,right,Not found,Hampton & Rich.,11/7/2025,30/06/2026,Not found,1,619,75,No,Not found,39,1,first scrap players transfer
Matt Grimes,https://www.transfermarkt.com/matt-grimes/profil/spieler/265471,Success,265471,spieler,Matt Grimes,15/07/1995 (30),Exeter,"1,78 m",England,Midfield - Defensive Midfield,left,Not found,Coventry,31/01/2025,30/06/2028,adidas,0,0,0,No,Not found,6,0,first scrap players transfer
Ben Hamer,https://www.transfermarkt.com/ben-hamer/profil/spieler/67283,Success,67283,spieler,Ben Hamer,20/11/1987 (38),Taunton,"1,93 m",England,Goalkeeper,right,Not found,QPR,19/09/2025,31/12/2025,Not found,4,271,36,No,Not found,29,3,first scrap players transfer
Dean Hammond,https://www.transfermarkt.com/dean-hammond/profil/spieler/33065,Success,33065,spieler,Dean Hammond,07/03/1983 (42),Hastings,"1,82 m",England,Midfield - Central Midfield,right,Not found,Worthing,1/7/2020,-,Not found,0,0,0,Yes,1/7/2020,Not found,0,first scrap players transfer
Tom Heaton,https://www.transfermarkt.com/tom-heaton/profil/spieler/34130,Success,34130,spieler,Tom Heaton,15/04/1986 (39),Chester,"1,88 m",England,Goalkeeper,right,Not found,Man Utd,2/7/2021,30/06/2026,Not found,7,727,86,No,Not found,22,6,first scrap players transfer
Rushian Hepburn-Murphy,https://www.transfermarkt.com/rushian-hepburn-murphy/profil/spieler/314237,Success,314237,spieler,Rushian Hepburn-Murphy,28/08/1998 (27),Birmingham,"1,73 m",England  Jamaica,Attack - Centre-Forward,right,Not found,MK Dons,1/7/2025,-,Nike,0,0,0,No,Not found,29,0,first scrap players transfer
Abel Hernández,https://www.transfermarkt.com/abel-hernndez/profil/spieler/76608,Success,76608,spieler,Abel Hernández,08/08/1990 (35),Pando,"1,85 m",Uruguay,Attack - Centre-Forward,left,Not found,Liverpool FC,16/09/2024,31/12/2025,adidas,21,1147,190,No,Not found,10,11,first scrap players transfer
Ander Herrera,https://www.transfermarkt.com/ander-herrera/profil/spieler/99343,Success,99343,spieler,Ander Herrera,14/08/1989 (36),Bilbao,"1,82 m",Spain,Midfield - Central Midfield,right,Not found,Boca Juniors,17/01/2025,31/12/2026,Not found,31,852,146,No,Not found,21,12,first scrap players transfer
Jake Hesketh,https://www.transfermarkt.com/jake-hesketh/profil/spieler/315185,Success,315185,spieler,Jake Hesketh,27/03/1996 (29),Stockport,"1,68 m",England,Midfield - Attacking Midfield,right,Not found,FC Sholing,1/7/2023,-,Puma,2,157,17,No,Not found,Not found,2,first scrap players transfer
Brown Ideye,https://www.transfermarkt.com/brown-ideye/profil/spieler/64308,Success,64308,spieler,Brown Ideye,10/10/1988 (37),Yenagoa,"1,81 m",Nigeria,Attack - Centre-Forward,right,Not found,Enyimba Aba,20/08/2025,-,Not found,7,112,19,Yes,20/08/2025,Not found,6,first scrap players transfer
Danny Ings,https://www.transfermarkt.com/danny-ings/profil/spieler/134294,Success,134294,spieler,Danny Ings,23/07/1992 (33),Winchester,"1,77 m",England,Attack - Centre-Forward,right,Not found,Sheff Utd,27/08/2025,30/06/2026,Nike,12,733,134,No,Not found,9,7,first scrap players transfer
Lloyd Isgrove,https://www.transfermarkt.com/lloyd-isgrove/profil/spieler/226965,Success,226965,spieler,Lloyd Isgrove,12/01/1993 (32),Yeovil,"1,78 m",Wales  England,Attack - Right Winger,right,Not found,St Albans,21/11/2025,-,Not found,2,127,24,No,Not found,Not found,2,first scrap players transfer
Mauricio Isla,https://www.transfermarkt.com/mauricio-isla/profil/spieler/43722,Success,43722,spieler,Mauricio Isla,12/06/1988 (37),Buin,"1,76 m",Chile,Defender - Right-Back,right,Not found,Colo-Colo,31/07/2024,31/12/2025,adidas,17,477,74,No,Not found,22,14,first scrap players transfer
Matty James,https://www.transfermarkt.com/matty-james/profil/spieler/73522,Success,73522,spieler,Matty James,22/07/1991 (34),Bacup,"1,81 m",England,Midfield - Central Midfield,right,Not found,Wrexham,25/10/2024,30/06/2026,Nike,5,979,121,No,Not found,37,3,first scrap players transfer
Daryl Janmaat,https://www.transfermarkt.com/daryl-janmaat/profil/spieler/60744,Success,60744,spieler,Daryl Janmaat,22/07/1989 (36),Leidschendam,"1,85 m",Netherlands,Defender - Right-Back,right,Not found,ADO Den Haag,1/7/2022,-,Not found,18,743,105,Yes,1/7/2022,Not found,9,first scrap players transfer
Siem de Jong,https://www.transfermarkt.com/siem-de-jong/profil/spieler/45509,Success,45509,spieler,Siem de Jong,28/01/1989 (36),Aigle,"1,85 m",Netherlands,Midfield - Attacking Midfield,right,Not found,De Graafschap,1/7/2023,-,adidas,15,634,124,Yes,1/7/2023,Not found,7,first scrap players transfer
Lukas Jutkiewicz,https://www.transfermarkt.com/lukas-jutkiewicz/profil/spieler/33507,Success,33507,spieler,Lukas Jutkiewicz,28/03/1989 (36),Southampton,"1,85 m",England,Attack - Centre-Forward,left,Not found,Birmingham,1/7/2025,-,Not found,2,28,3,Yes,1/7/2025,Not found,1,first scrap players transfer
Michael Keane,https://www.transfermarkt.com/michael-keane/profil/spieler/118534,Success,118534,spieler,Michael Keane,11/01/1993 (32),Stockport,"1,88 m",England  Ireland,Defender - Centre-Back,right,Not found,Everton,3/7/2017,30/06/2026,Nike,4,51,10,No,Not found,5,3,first scrap players transfer
Andy King,https://www.transfermarkt.com/andy-king/profil/spieler/56872,Success,56872,spieler,Andy King,29/10/1988 (37),Barnstaple,"1,84 m",Wales  England,Midfield - Central Midfield,right,Not found,Bristol City,1/7/2024,-,adidas,2,113,20,Yes,1/7/2024,Not found,2,first scrap players transfer
Anthony Knockaert,https://www.transfermarkt.com/anthony-knockaert/profil/spieler/149237,Success,149237,spieler,Anthony Knockaert,20/11/1991 (34),Roubaix,"1,72 m",France  Belgium,Attack - Right Winger,left,Not found,Mouscron,11/7/2024,-,Not found,9,381,62,No,Not found,Not found,4,first scrap players transfer
Cheikhou Kouyaté,https://www.transfermarkt.com/cheikhou-kouyat/profil/spieler/66934,Success,66934,spieler,Cheikhou Kouyaté,21/12/1989 (35),Dakar,"1,89 m",Senegal  Belgium,Midfield - Defensive Midfield,right,Not found,Amed SK,12/9/2025,30/06/2026,Not found,14,374,57,No,Not found,8,8,first scrap players transfer
Cole Kpekawa,https://www.transfermarkt.com/cole-kpekawa/profil/spieler/347895,Success,347895,spieler,Cole Kpekawa,20/05/1996 (29),Blackpool,"1,91 m",England  Ghana,Defender - Centre-Back,left,Not found,Bedford Town,1/7/2025,-,Not found,0,0,0,No,Not found,4,0,first scrap players transfer
Andrej Kramarić,https://www.transfermarkt.com/andrej-kramari/profil/spieler/46580,Success,46580,spieler,Andrej Kramaric,19/06/1991 (34),Zagreb,"1,77 m",Croatia,Midfield - Attacking Midfield,right,Not found,Hoffenheim,1/7/2016,30/06/2026,adidas,20,344,57,No,Not found,27,9,first scrap players transfer
Bojan Krkić,https://www.transfermarkt.com/bojan-krki/profil/spieler/44675,Success,44675,spieler,Bojan Krkic,28/08/1990 (35),Liñola,"1,70 m",Spain  Serbia,Attack - Second Striker,right,Not found,Vissel Kobe,23/03/2023,-,Nike,8,515,82,Yes,23/03/2023,Not found,8,first scrap players transfer
Daniel Lafferty,https://www.transfermarkt.com/daniel-lafferty/profil/spieler/85928,Success,85928,spieler,Danny Lafferty,18/05/1989 (36),Derry,"1,82 m",Northern Ireland,Defender - Left-Back,left,Not found,Ballymena Utd,1/7/2024,31/05/2026,Not found,0,0,0,No,Not found,3,0,first scrap players transfer
Jesse Lingard,https://www.transfermarkt.com/jesse-lingard/profil/spieler/141660,Success,141660,spieler,Jesse Lingard,15/12/1992 (32),Warrington,"1,74 m",England,Midfield - Attacking Midfield,right,Not found,FC Seoul,8/2/2024,31/12/2025,Nike,13,434,101,No,Not found,10,7,first scrap players transfer
Ruben Loftus-Cheek,https://www.transfermarkt.com/ruben-loftus-cheek/profil/spieler/202886,Success,202886,spieler,Ruben Loftus-Cheek,23/01/1996 (29),London,"1,91 m",England  Guyana,Midfield - Central Midfield,right,Not found,AC Milan,1/7/2023,30/06/2027,adidas,24,861,160,No,Not found,8,8,first scrap players transfer
Kevin Long,https://www.transfermarkt.com/kevin-long/profil/spieler/111114,Success,111114,spieler,Kevin Long,18/08/1990 (35),Cork,"1,88 m",Ireland,Defender - Centre-Back,right,Not found,Toronto,20/02/2024,31/12/2025,Not found,9,606,81,No,Not found,5,7,first scrap players transfer
Filipe Luís,https://www.transfermarkt.com/filipe-lus/profil/spieler/21725,Success,21725,spieler,Filipe Luís,09/08/1985 (40),Jaraguá do Sul,"1,82 m",Brazil  Poland,Defender - Left-Back,left,Not found,Flamengo,1/1/2024,-,Not found,16,450,91,Yes,1/1/2024,Not found,9,first scrap players transfer
Harry Maguire,https://www.transfermarkt.com/harry-maguire/profil/spieler/177907,Success,177907,spieler,Harry Maguire,05/03/1993 (32),Sheffield,"1,94 m",England,Defender - Centre-Back,right,Not found,Man Utd,5/8/2019,30/06/2026,Puma,12,307,61,No,Not found,5,6,first scrap players transfer
Riyad Mahrez,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424,Success,171424,spieler,Riyad Mahrez,21/02/1991 (34),Clichy,"1,79 m",Algeria  France,Attack - Right Winger,left,Not found,Al-Ahli,28/07/2023,30/06/2027,Nike,3,35,4,No,Not found,7,3,first scrap players transfer
Ainsley Maitland-Niles,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845,Success,285845,spieler,Ainsley Maitland-Niles,29/08/1997 (28),London,"1,80 m",England  Jamaica,Defender - Right-Back,right,Not found,Lyon,7/8/2023,30/06/2027,Nike,10,160,31,No,Not found,98,6,first scrap players transfer
Sadio Mané,https://www.transfermarkt.com/sadio-man/profil/spieler/200512,Success,200512,spieler,Sadio Mané,10/04/1992 (33),Bambaly,"1,74 m",Senegal,Attack - Left Winger,right,Not found,Al-Nassr,1/8/2023,30/06/2026,New Balance,16,375,65,No,Not found,10,9,first scrap players transfer
Eliaquim Mangala,https://www.transfermarkt.com/eliaquim-mangala/profil/spieler/90681,Success,90681,spieler,Eliaquim Mangala,13/02/1991 (34),Colombes,"1,87 m",France  Belgium,Defender - Centre-Back,left,Not found,Without Club,1/7/2025,-,adidas,13,700,81,No,Not found,Not found,8,first scrap players transfer
Javier Manquillo,https://www.transfermarkt.com/javier-manquillo/profil/spieler/162029,Success,162029,spieler,Javier Manquillo,05/05/1994 (31),Madrid,"1,78 m",Spain,Defender - Right-Back,right,Not found,Without Club,1/7/2025,-,Not found,10,238,44,No,Not found,Not found,7,first scrap players transfer
