"rank","player_name.x","nation","position.x","current_club.x","age","dob","matches_played","starts","minutes","X90s","goals_12","assists_13","goals_assists_14","goals_PK_15","penalty_goals","penalty_attempts","yellow_cards","red_cards","goals_20","assists_21","GA_22","goals_PK_23","goals_assists_minus_PK","matches","season2","goals_against","goals_against_per_90","shots_on_target_against","saves","save_percentage_31","wins","draws","losses","clean_sheets","CS.","penalties_against","penalty_saves","penalty_misses","save_percentage_40","transfermarkt_id","player_name.x.x","transfermarkt_url.x","first_tier_debut_date","first_tier_debut_age","first_tier_debut_age.1","first_tier_debut_competition","second_tier_debut_date","second_tier_debut_age","second_tier_debut_age.1","second_tier_debut_competition","debut_age_transfermarket","explanation.x","player_name.y","player_url.x","status.x","player_slug","home_name","dob_age.x","place_birth.x","height.x","citizenship.x","position.x.x","foot.x","agent","current_club","joined","contract_expires","outfitter","injury_count_total","days_missed_total","games_missed_total","retired","retirement_date","shirt_number","injury_seasons","explanation.y","player_name","player_url.y","status.y","name_home_country","dob_age.y","place_birth.y","height.y","citizenship.y","position.y","foot.y","debut_season","debut_age","first_club","debut_year","transfermarkt_url.y","explanation"
366,"Steven Naismith","sct SCO","FW,MF","Everton",28,1986,10,4,453,5,3,1,4,3,0,0,1,0,0.6,0.2,0.79,0.6,0.79,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12763,"Steven Naismith","https://www.transfermarkt.com/steven-naismith/profil/spieler/12763","10/4/2004","17 years 06 months 27 days","17","Scottish Premiership","6/8/2016","29","29","Championship","17","first scrap players","Steven Naismith","https://www.transfermarkt.com/steven-naismith/profil/spieler/12763","Success","spieler","Steven Naismith","14/09/1986 (39)","Irvine","1,78 m","Scotland","Attack - Second Striker","right","Not found","Heart of Midl.","1/7/2021","-","adidas",12,988,166,"Yes","1/7/2021","Not found",7,"first scrap players transfer","Steven Naismith","https://fbref.com/en/players/5e98c186/Steven-Naismith","Success","Not found","14-Sep-86","Not found","178","Scotland sct","FW-MF (AM)","Right","2003-2004","16 years","Kilmarnock","2003","https://www.transfermarkt.com/steven-naismith/profil/spieler/12763","first scrap players fbref"
367,"Samir Nasri","fr FRA","FW,MF","Manchester City",28,1987,12,4,541,6,2,2,4,2,0,0,3,0,0.33,0.33,0.67,0.33,0.67,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18935,"Samir Nasri","https://www.transfermarkt.com/samir-nasri/profil/spieler/18935","12/9/2004","17 years 02 months 17 days","17","Ligue 1","No second tier career","No second tier career","No second tier career","No second tier career","17","first scrap players","Samir Nasri","https://www.transfermarkt.com/samir-nasri/profil/spieler/18935","Success","spieler","Samir Nasri","26/06/1987 (38)","Marseille","1,77 m","France  Algeria","Midfield - Attacking Midfield","right","Not found","RSC Anderlecht","26/09/2021","-","New Balance",30,1148,191,"Yes","26/09/2021","Not found",12,"first scrap players transfer","Samir Nasri","https://fbref.com/en/players/165bed61/Samir-Nasri","Success","Not found","26-Jun-87","Not found","175","France","FW-MF (AM)","Right","2004-2005","17 years","Marseille","2004","https://www.transfermarkt.com/samir-nasri/profil/spieler/18935","first scrap players fbref"
368,"Kyle Naughton","eng ENG","DF","Swansea City",26,1988,27,19,1769,19.7,0,3,3,0,0,0,2,1,0,0.15,0.15,0,0.15,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66219,"Kyle Naughton","https://www.transfermarkt.com/kyle-naughton/profil/spieler/66219","16/01/2008","19 years 01 month 30 days","19","Scottish Premiership","20/09/2008","19","19","Championship","19","first scrap players","Kyle Naughton","https://www.transfermarkt.com/kyle-naughton/profil/spieler/66219","Success","spieler","Kyle Naughton","17/11/1988 (37)","Sheffield","1,81 m","England  Ireland","Defender - Right-Back","right","Not found","Without Club","1/7/2025","-","Nike",5,162,26,"No","Not found","Not found",4,"first scrap players transfer","Kyle Naughton","https://fbref.com/en/players/e860c42f/Kyle-Naughton","Success","Not found","17-Nov-88","Not found","180","England eng","DF (CB-FB)","Right","2007-2008","18 years","Gretna","2007","https://www.transfermarkt.com/kyle-naughton/profil/spieler/66219","first scrap players fbref"
369,"Jesús Navas","es ESP","DF,FW","Manchester City",29,1985,34,24,2282,25.4,0,7,7,0,0,0,1,0,0,0.28,0.28,0,0.28,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15956,"Jesús Navas","https://www.transfermarkt.com/jess-navas/profil/spieler/15956","23/11/2003","18 years 02 days","18","LaLiga","No second tier career","No second tier career","No second tier career","No second tier career","18","first scrap players","Jesús Navas","https://www.transfermarkt.com/jess-navas/profil/spieler/15956","Success","spieler","Jesús Navas","21/11/1985 (40)","Los Palacios y Villafranca","1,70 m","Spain","Defender - Right-Back","right","Not found","Sevilla FC","1/1/2025","-","New Balance",15,414,79,"Yes","1/1/2025","Not found",7,"first scrap players transfer","Jesús Navas","https://fbref.com/en/players/3f10bd22/Jesus-Navas","Success","Not found","21-Nov-85","Not found","172","Spain","DF-FW-MF (AM-FB-WM, right)","Right","2003-2004","17 years","Sevilla","2003","https://www.transfermarkt.com/jess-navas/profil/spieler/15956","first scrap players fbref"
370,"Oumar Niasse","sn SEN","FW,MF","Everton",25,1990,5,2,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209781,"Oumar Niasse","https://www.transfermarkt.com/oumar-niasse/profil/spieler/209781","30/03/2012","21 years 11 months 12 days","21","Eliteserien","No second tier career","No second tier career","No second tier career","No second tier career","21","first scrap players","Oumar Niasse","https://www.transfermarkt.com/oumar-niasse/profil/spieler/209781","Success","spieler","Oumar Niasse","18/04/1990 (35)","Dakar","1,82 m","Senegal","Attack - Centre-Forward","right","Not found","Macclesfield","29/01/2024","-","Nike",0,0,0,"Yes","29/01/2024","Not found",0,"first scrap players transfer","Oumar Niasse","https://fbref.com/en/players/af721f98/Oumar-Niasse","Success","Not found","18-Apr-90","Not found","182","Senegal","FW-MF (WM)","Right","2012","21 years","Brann","Not found","https://www.transfermarkt.com/oumar-niasse/profil/spieler/209781","first scrap players fbref"
371,"Mark Noble","eng ENG","MF","West Ham",28,1987,37,37,3196,35.5,7,4,11,4,3,3,8,1,0.2,0.11,0.31,0.11,0.23,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31835,"Mark Noble","https://www.transfermarkt.com/mark-noble/profil/spieler/31835","13/08/2005","18 years 03 months 05 days","18","Premier League","15/01/2005","17","17","Championship","17","first scrap players","Mark Noble","https://www.transfermarkt.com/mark-noble/profil/spieler/31835","Success","spieler","Mark Noble","08/05/1987 (38)","London","1,80 m","England  Ireland","Midfield - Central Midfield","right","Not found","West Ham","1/7/2022","-","adidas",13,283,53,"Yes","1/7/2022","Not found",9,"first scrap players transfer","Mark Noble","https://fbref.com/en/players/ff527768/Mark-Noble","Success","Not found","8-May-87","Not found","180","England eng","MF (AM-CM-DM)","Right","2004-2005","17 years","West Ham","2004","https://www.transfermarkt.com/mark-noble/profil/spieler/31835","first scrap players fbref"
372,"Kevin Nolan","eng ENG","MF","West Ham",33,1982,2,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3950,"Kevin Nolan","https://www.transfermarkt.com/kevin-nolan/profil/spieler/3950","18/08/2001","19 years 01 month 25 days","19","Premier League","4/3/2000","17","17","","17","first scrap players","Kevin Nolan","https://www.transfermarkt.com/kevin-nolan/profil/spieler/3950","Success","spieler","Kevin Nolan","24/06/1982 (43)","Liverpool","1,83 m","England","Midfield - Attacking Midfield","right","Not found","Notts County","26/08/2018","-","Not found",3,87,18,"Yes","26/08/2018","Not found",3,"first scrap players transfer","Kevin Nolan","https://fbref.com/en/players/3d307105/Kevin-Nolan","Success","Not found","24-Jun-82","Not found","183","England eng","MF (AM)","Right","2001-2002","19 years","Bolton","2001","https://www.transfermarkt.com/kevin-nolan/profil/spieler/3950","first scrap players fbref"
373,"Kristoffer Nordfeldt","se SWE","GK","Swansea City",26,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75890,"Kristoffer Nordfeldt","https://www.transfermarkt.com/kristoffer-nordfeldt/profil/spieler/75890","5/4/2009","19 years 09 months 13 days","19","Allsvenskan","13/04/2008","18","18","Superettan","18","first scrap players","Kristoffer Nordfeldt","https://www.transfermarkt.com/kristoffer-nordfeldt/profil/spieler/75890","Success","spieler","Kristoffer Nordfeldt","23/06/1989 (36)","Stockholm","1,90 m","Sweden","Goalkeeper","right","Not found","AIK","9/8/2021","31/12/2025","Not found",6,61,15,"No","Not found","15",3,"first scrap players transfer","Kristoffer Nordfeldt","https://fbref.com/en/players/78549904/Kristoffer-Nordfeldt","Success","Not found","June 23, 1989 (Age: 36-155d)","Stockholm, Sweden","190","Sweden","GK","Right","2008","18 years","Brommapojkarna","Not found","https://www.transfermarkt.com/kristoffer-nordfeldt/profil/spieler/75890","first scrap players fbref"
374,"Allan Nyom","cm CMR","DF,MF","Watford",27,1988,32,29,2469,27.4,0,1,1,0,0,0,8,0,0,0.04,0.04,0,0.04,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111508,"Allan Nyom","https://www.transfermarkt.com/allan-nyom/profil/spieler/111508","27/08/2011","23 years 03 months 17 days","23","LaLiga","29/08/2010","22","22","Segunda División","22","first scrap players","Allan Nyom","https://www.transfermarkt.com/allan-nyom/profil/spieler/111508","Success","spieler","Allan Nyom","10/05/1988 (37)","Neuilly-sur-Seine","1,89 m","Cameroon  France","Defender - Right-Back","right","Not found","Getafe","20/09/2025","30/06/2026","Not found",2,61,9,"No","Not found","12",1,"first scrap players transfer","Allan Nyom","https://fbref.com/en/players/97572117/Allan-Nyom","Success","Not found","May 10, 1988 (Age: 37-199d)","Neuilly-sur-Seine, France","186","Cameroon cm  Other: France","DF-MF (FB, right)","Right","2010-2011","22 years","Granada","2010","https://www.transfermarkt.com/allan-nyom/profil/spieler/111508","first scrap players fbref"
375,"Eunan O'Kane","ie IRL","MF","Bournemouth",25,1990,16,6,756,8.4,0,1,1,0,0,0,2,0,0,0.12,0.12,0,0.12,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61583,"Eunan O'Kane","https://www.transfermarkt.com/eunan-okane/profil/spieler/61583","5/9/2009","19 years 01 month 26 days","19","Danske Bank Premiership","10/8/2013","23","23","Championship","19","first scrap players","Eunan O'Kane","https://www.transfermarkt.com/eunan-okane/profil/spieler/61583","Success","spieler","Eunan O'Kane","10/07/1990 (35)","Derry","1,68 m","Ireland  Northern Ireland","Midfield - Central Midfield","right","Not found","Leeds","1/7/2021","-","Not found",1,854,123,"Yes","1/7/2021","Not found",1,"first scrap players transfer","Eunan O'Kane","https://fbref.com/en/players/b7f8b1fc/Eunan-OKane","Success","Not found","10-Jul-90","Not found","168","Republic of Ireland ie  Other: Northern Ireland","MF","Left","2009-2010","19 years","Torquay United","2009","https://www.transfermarkt.com/eunan-okane/profil/spieler/61583","first scrap players fbref"
376,"Gary O'Neil","eng ENG","MF","Norwich City",32,1983,27,19,1756,19.5,0,0,0,0,0,0,7,1,0,0,0,0,0,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3995,"Gary O'Neil","https://www.transfermarkt.com/gary-oneil/profil/spieler/3995","8/11/2003","20 years 05 months 21 days","20","Premier League","29/01/2000","16","16","","16","first scrap players","Gary O'Neil","https://www.transfermarkt.com/gary-oneil/profil/spieler/3995","Success","spieler","Gary O'Neil","18/05/1983 (42)","London","1,74 m","England","Midfield - Central Midfield","right","Not found","Bolton","1/7/2019","-","Not found",4,335,50,"Yes","1/7/2019","Not found",3,"first scrap players transfer","Gary O'Neil","https://fbref.com/en/players/754d4ac4/Gary-O'Neil","Success","Not found","18-May-83","Not found","178","England eng","MF (AM)","Right","2001-2002","18 years","Portsmouth","2001","https://www.transfermarkt.com/gary-oneil/profil/spieler/3995","first scrap players fbref"
377,"John O'Shea","ie IRL","DF,MF","Sunderland",34,1981,28,23,2009,22.3,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3540,"John O'Shea","https://www.transfermarkt.com/john-oshea/profil/spieler/3540","27/01/2001","19 years 08 months 28 days","19","Jupiler Pro League","13/08/2017","36","36","Championship","19","first scrap players","John O'Shea","https://www.transfermarkt.com/john-oshea/profil/spieler/3540","Success","spieler","John O'Shea","30/04/1981 (44)","Waterford","1,92 m","Ireland","Defender - Centre-Back","right","Not found","Reading","7/5/2019","-","Nike",6,247,29,"Yes","7/5/2019","Not found",5,"first scrap players transfer","John O'Shea","https://fbref.com/en/players/7c1f4685/John-OShea","Success","Not found","30-Apr-81","Not found","192","Republic of Ireland","DF-MF (CB)","Right","2001-2002","20 years","Manchester Utd","2001","https://www.transfermarkt.com/john-oshea/profil/spieler/3540","first scrap players fbref"
378,"Gabriel Obertan","fr FRA","FW,MF","Newcastle Utd",26,1989,5,3,279,3.1,0,1,1,0,0,0,1,0,0,0.32,0.32,0,0.32,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43261,"Gabriel Obertan","https://www.transfermarkt.com/gabriel-obertan/profil/spieler/43261","30/09/2006","17 years 07 months 04 days","17","Ligue 1","14/02/2017","27","27","Championship","17","first scrap players","Gabriel Obertan","https://www.transfermarkt.com/gabriel-obertan/profil/spieler/43261","Success","spieler","Gabriel Obertan","26/02/1989 (36)","Pantin","1,86 m","France  Guadeloupe","Attack - Right Winger","right","Not found","Without Club","1/12/2024","-","Nike",8,537,104,"No","Not found","Not found",7,"first scrap players transfer","Gabriel Obertan","https://fbref.com/en/players/adc264a8/Gabriel-Obertan","Success","Not found","26-Feb-89","Not found","186","France","FW-MF (AM-WM)","Right","2006-2007","17 years","Bordeaux","2006","https://www.transfermarkt.com/gabriel-obertan/profil/spieler/43261","first scrap players fbref"
379,"John Obi Mikel","ng NGA","MF","Chelsea",28,1987,25,19,1782,19.8,0,1,1,0,0,0,6,0,0,0.05,0.05,0,0.05,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30739,"John Obi Mikel","https://www.transfermarkt.com/john-obi-mikel/profil/spieler/30739","24/04/2005","18 years 02 days","18","Eliteserien","2/2/2019","31","31","Championship","18","first scrap players","John Obi Mikel","https://www.transfermarkt.com/john-obi-mikel/profil/spieler/30739","Success","spieler","John Obi Mikel","22/04/1987 (38)","Jos","1,88 m","Nigeria  England","Midfield - Defensive Midfield","right","Not found","Kuwait SC","27/09/2022","-","Not found",9,310,49,"Yes","27/09/2022","Not found",6,"first scrap players transfer","John Obi Mikel","https://fbref.com/en/players/424d5f72/John-Obi-Mikel","Success","Not found","22-Apr-87","Not found","189","Nigeria","MF (CM-DM)","Right","2005","17 years","Lyn","Not found","https://www.transfermarkt.com/john-obi-mikel/profil/spieler/30739","first scrap players fbref"
380,"Pedro Obiang","gq EQG","MF","West Ham",23,1992,24,11,1088,12.1,0,1,1,0,0,0,2,0,0,0.08,0.08,0,0.08,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101213,"Pedro Obiang","https://www.transfermarkt.com/pedro-obiang/profil/spieler/101213","12/9/2010","18 years 05 months 16 days","18","Serie A","25/08/2011","19","19","Serie B","18","first scrap players","Pedro Obiang","https://www.transfermarkt.com/pedro-obiang/profil/spieler/101213","Success","spieler","Pedro Obiang","27/03/1992 (33)","Alcalá de Henares","1,86 m","Equatorial Guinea  Spain","Midfield - Central Midfield","right","Not found","Monza","1/7/2025","30/06/2026","Not found",11,916,149,"No","Not found","14",9,"first scrap players transfer","Pedro Obiang","https://fbref.com/en/players/ba1e04b3/Pedro-Obiang","Success","Not found","March 27, 1992 (Age: 33-243d)","Alcalá de Henares, Spain","185","Equatorial Guinea gq  Other: Spain","MF (CM-DM)","Right","2010-2011","18 years","Sampdoria","2010","https://www.transfermarkt.com/pedro-obiang/profil/spieler/101213","first scrap players fbref"
381,"Peter Odemwingie","ng NGA","FW","Stoke City",34,1981,5,0,106,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12516,"Peter Odemwingie","https://www.transfermarkt.com/peter-odemwingie/profil/spieler/12516","18/01/2003","21 years 06 months 03 days","21","Jupiler Pro League","12/3/2016","34","34","Championship","21","first scrap players","Peter Odemwingie","https://www.transfermarkt.com/peter-odemwingie/profil/spieler/12516","Success","spieler","Peter Odemwingie","15/07/1981 (44)","Tashkent","1,81 m","Nigeria  Russia","Attack - Centre-Forward","right","Not found","Madura United","1/1/2019","-","Nike",3,287,52,"Yes","1/1/2019","Not found",3,"first scrap players transfer","Peter Odemwingie","https://fbref.com/en/players/b16150ac/Peter-Odemwingie","Success","Not found","15-Jul-81","Not found","182","Nigeria","FW","Both","2003-2004","22 years","La Louvière","2003","https://www.transfermarkt.com/peter-odemwingie/profil/spieler/12516","first scrap players fbref"
382,"Vadis Odjidja-Ofoe","be BEL","DF,MF","Norwich City",26,1989,10,3,279,3.1,0,2,2,0,0,0,2,0,0,0.65,0.65,0,0.65,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38388,"Vadis Odjidja-Ofoe","https://www.transfermarkt.com/vadis-odjidja-ofoe/profil/spieler/38388","9/12/2007","18 years 09 months 18 days","18","Jupiler Pro League","16/09/2014","25","25","Championship","18","first scrap players","Vadis Odjidja-Ofoe","https://www.transfermarkt.com/vadis-odjidja-ofoe/profil/spieler/38388","Success","spieler","Vadis Odjidja-Ofoe","21/02/1989 (36)","Gent","1,85 m","Belgium  Ghana","Midfield - Central Midfield","right","Not found","Aalst Lede","1/7/2025","30/06/2026","Not found",12,456,62,"No","Not found","8",7,"first scrap players transfer","Vadis Odjidja-Ofoe","https://fbref.com/en/players/518918ad/Vadis-Odjidja-Ofoe","Success","Not found","February 21, 1989 (Age: 36-277d)","Gent, Belgium","185","Belgium","DF-MF (AM-CM-DM-WM)","Right","2007-2008","18 years","Hamburger SV","2007","https://www.transfermarkt.com/vadis-odjidja-ofoe/profil/spieler/38388","first scrap players fbref"
383,"Angelo Ogbonna","it ITA","DF","West Ham",27,1988,28,27,2326,25.8,0,0,0,0,0,0,5,0,0,0,0,0,0,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48002,"Angelo Ogbonna","https://www.transfermarkt.com/angelo-ogbonna/profil/spieler/48002","11/2/2007","18 years 08 months 19 days","18","Serie A","12/9/2009","21","21","Serie B","18","first scrap players","Angelo Ogbonna","https://www.transfermarkt.com/angelo-ogbonna/profil/spieler/48002","Success","spieler","Angelo Ogbonna","23/05/1988 (37)","Cassino","1,91 m","Italy  Nigeria","Defender - Centre-Back","left","Not found","Without Club","1/7/2025","-","adidas",13,738,101,"No","Not found","Not found",10,"first scrap players transfer","Angelo Ogbonna","https://fbref.com/en/players/74b2cd7e/Angelo-Ogbonna","Success","Not found","23-May-88","Not found","191","Italy","DF (CB)","Left","2006-2007","18 years","Torino","2006","https://www.transfermarkt.com/angelo-ogbonna/profil/spieler/48002","first scrap players fbref"
384,"Sheyi Ojo","eng ENG","FW,MF","Liverpool",18,1997,8,5,397,4.4,0,3,3,0,0,0,0,0,0,0.68,0.68,0,0.68,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236510,"Sheyi Ojo","https://www.transfermarkt.com/sheyi-ojo/profil/spieler/236510","20/03/2016","18 years 09 months 01 day","18","Premier League","7/2/2015","17","17","Championship","17","first scrap players","Sheyi Ojo","https://www.transfermarkt.com/sheyi-ojo/profil/spieler/236510","Success","spieler","Sheyi Ojo","19/06/1997 (28)","Hemel Hempstead","1,79 m","England  Nigeria","Attack - Right Winger","left","Not found","NK Maribor","6/9/2024","30/06/2026","Not found",5,190,36,"No","Not found","17",3,"first scrap players transfer","Sheyi Ojo","https://fbref.com/en/players/7b9a86e6/Sheyi-Ojo","Success","Not found","June 19, 1997 (Age: 28-159d)","Hemel Hempstead, England, United Kingdom","178","England eng","FW-MF (AM-WM)","Left","2014-2015","17 years","Wigan Athletic","2014","https://www.transfermarkt.com/sheyi-ojo/profil/spieler/236510","first scrap players fbref"
385,"Shinji Okazaki","jp JPN","FW,MF","Leicester City",29,1986,36,28,2054,22.8,5,0,5,5,0,0,1,0,0.22,0,0.22,0.22,0.22,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79642,"Shinji Okazaki","https://www.transfermarkt.com/shinji-okazaki/profil/spieler/79642","3/12/2005","19 years 07 months 17 days","19","J1 League","8/9/2019","33","33","Segunda División","19","first scrap players","Shinji Okazaki","https://www.transfermarkt.com/shinji-okazaki/profil/spieler/79642","Success","spieler","Shinji Okazaki","16/04/1986 (39)","Takarazuka, Hyogo","1,75 m","Japan","Attack - Centre-Forward","right","Not found","Sint-Truiden","1/7/2024","-","Mizuno",13,416,56,"Yes","1/7/2024","Not found",7,"first scrap players transfer","Shinji Okazaki","https://fbref.com/en/players/68796d61/Shinji-Okazaki","Success","Not found","16-Apr-86","Not found","174","Japan","FW-MF","Right","2010-2011","24 years","Stuttgart","2010","https://www.transfermarkt.com/shinji-okazaki/profil/spieler/79642","first scrap players fbref"
386,"Jores Okore","dk DEN","DF","Aston Villa",22,1992,12,12,1080,12,0,0,0,0,0,0,1,0,0,0,0,0,0,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129085,"Jores Okore","https://www.transfermarkt.com/jores-okore/profil/spieler/129085","3/4/2011","18 years 07 months 23 days","18","Superligaen","15/09/2024","32","32","1.Division","18","first scrap players","Jores Okore","https://www.transfermarkt.com/jores-okore/profil/spieler/129085","Success","spieler","Jores Okore","11/08/1992 (33)","Abidjan","1,86 m","Denmark  Cote d'Ivoire","Defender - Centre-Back","right","Not found","B.93","1/7/2025","-","Not found",4,369,59,"Yes","1/7/2025","Not found",4,"first scrap players transfer","Jores Okore","https://fbref.com/en/players/bd7138e5/Jores-Okore","Success","Not found","11-Aug-92","Not found","183","Denmark dk  Other: Côte d'Ivoire","DF (CB)","Right","2010-2011","17 years","Nordsjælland","2010","https://www.transfermarkt.com/jores-okore/profil/spieler/129085","first scrap players fbref"
387,"Jonas Olsson","se SWE","DF","West Brom",32,1983,28,25,2013,22.4,1,1,2,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25248,"Jonas Olsson","https://www.transfermarkt.com/jonas-olsson/profil/spieler/25248","21/04/2003","20 years 01 month 11 days","20","","8/8/2009","26","26","Championship","20","first scrap players","Jonas Olsson","https://www.transfermarkt.com/jonas-olsson/profil/spieler/25248","Success","spieler","Jonas Olsson","10/03/1983 (42)","Landskrona","1,93 m","Sweden","Defender - Centre-Back","left","Not found","Wigan","20/09/2019","-","Not found",7,261,57,"Yes","20/09/2019","Not found",7,"first scrap players transfer","Jonas Olsson","https://fbref.com/en/players/48844a9b/Jonas-Olsson","Success","Not found","10-Mar-83","Not found","193","Sweden","DF (CB)","Left","2003","19 years","Landskrona","Not found","https://www.transfermarkt.com/jonas-olsson/profil/spieler/25248","first scrap players fbref"
388,"Martin Olsson","se SWE","DF,MF","Norwich City",27,1988,24,20,1775,19.7,1,2,3,1,0,0,2,0,0.05,0.1,0.15,0.05,0.15,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38073,"Martin Olsson","https://www.transfermarkt.com/martin-olsson/profil/spieler/38073","30/12/2007","19 years 07 months 13 days","19","Premier League","15/09/2012","24","24","Championship","19","first scrap players","Martin Olsson","https://www.transfermarkt.com/martin-olsson/profil/spieler/38073","Success","spieler","Martin Olsson","17/05/1988 (37)","Gävle","1,78 m","Sweden","Defender - Left-Back","left","Not found","Malmö","11/8/2021","31/12/2025","Not found",11,577,101,"No","Not found","13",10,"first scrap players transfer","Martin Olsson","https://fbref.com/en/players/2f72f79e/Martin-Olsson","Success","Not found","May 17, 1988 (Age: 37-192d)","Gävle, Sweden","178","Sweden","DF-MF (FB-WM, left)","Left","2007-2008","19 years","Blackburn","2007","https://www.transfermarkt.com/martin-olsson/profil/spieler/38073","first scrap players fbref"
389,"Josh Onomah","eng ENG","FW,MF","Tottenham",18,1997,8,0,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243589,"Josh Onomah","https://www.transfermarkt.com/josh-onomah/profil/spieler/243589","2/11/2015","18 years 06 months 06 days","18","Premier League","5/8/2017","20","20","Championship","18","first scrap players","Josh Onomah","https://www.transfermarkt.com/josh-onomah/profil/spieler/243589","Success","spieler","Josh Onomah","27/04/1997 (28)","London","1,85 m","England  Nigeria","Midfield - Central Midfield","right","Not found","Without Club","1/7/2025","-","Not found",10,392,46,"No","Not found","Not found",4,"first scrap players transfer","Josh Onomah","https://fbref.com/en/players/6612cd8c/Josh-Onomah","Success","Not found","April 27, 1997 (Age: 28-212d)","Enfield, England, United Kingdom","185","England eng","FW-MF","Right","2014-2015","17 years","Tottenham","2014","https://www.transfermarkt.com/josh-onomah/profil/spieler/243589","first scrap players fbref"
390,"Divock Origi","be BEL","FW,MF","Liverpool",20,1995,16,7,670,7.4,5,1,6,5,0,0,0,0,0.67,0.13,0.81,0.67,0.81,"Matches","2015-2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148368,"Divock Origi","https://www.transfermarkt.com/divock-origi/profil/spieler/148368","2/2/2013","17 years 09 months 15 days","17","Ligue 1","No second tier career","No second tier career","No second tier career","No second tier career","17","first scrap players","Divock Origi","https://www.transfermarkt.com/divock-origi/profil/spieler/148368","Success","spieler","Divock Origi","18/04/1995 (30)","Oostende","1,89 m","Belgium  Kenya","Attack - Centre-Forward","right","Not found","Milan Futuro","8/7/2024","30/06/2026","Nike",15,272,52,"No","Not found","Not found",7,"first scrap players transfer","Divock Origi","https://fbref.com/en/players/43a166b4/Divock-Origi","Success","Not found","18-Apr-95","Not found","186","Belgium","FW-MF (WM)","Right","2012-2013","17 years","Lille","2012","https://www.transfermarkt.com/divock-origi/profil/spieler/148368","first scrap players fbref"
